""	"taxon"	"lfc_(Intercept)"	"lfc_typeafter"	"se_(Intercept)"	"se_typeafter"	"W_(Intercept)"	"W_typeafter"	"p_(Intercept)"	"p_typeafter"	"q_(Intercept)"	"q_typeafter"	"diff_(Intercept)"	"diff_typeafter"	"passed_ss_(Intercept)"	"passed_ss_typeafter"
"1"	"Marinifilum"	NA	NA	NA	NA	NA	NA	1	1	1	1	FALSE	FALSE	TRUE	TRUE
"2"	"Vibrio"	-0.136915288299567	0.327867404166088	0.108777502405936	0.279337778254893	-1.25867284384436	1.17373097979934	0.239816738702322	0.270626747716533	1	1	FALSE	FALSE	TRUE	TRUE
"3"	"Clade III"	0.470962013315201	-0.879641127488747	0.154748637551158	0.268025868009479	3.04340006327685	-3.28192623354414	0.00941883147534382	0.00595111718152399	1	1	FALSE	FALSE	FALSE	FALSE
"4"	"Clade Ia"	0.393520872334495	-0.68603827503698	0.161553111144668	0.278417463265961	2.43586068721453	-2.46406337802753	0.0299991285620601	0.0284507113234988	1	1	FALSE	FALSE	FALSE	FALSE
"5"	"Proteobacteria"	0.385181292698208	-0.934610115241579	0.347714807310006	0.45437360470455	1.10775061803681	-2.05691991252286	0.291603884648337	0.0642054458867181	1	1	FALSE	FALSE	TRUE	FALSE
"6"	"Rhodobacteraceae"	-0.851637820393427	1.83125949205988	0.0578346357618397	0.281034890031961	-14.7253943795969	6.5161286267752	0.00458009480209458	0.0227509652235604	0.943499529231484	1	FALSE	FALSE	TRUE	TRUE
"7"	"Candidatus Actinomarina"	0.221991743505599	-0.257215452964739	0.223322899648366	0.318310652296196	0.99403932088978	-0.808064232564211	0.338346707304208	0.433592003044951	1	1	FALSE	FALSE	TRUE	TRUE
"8"	"Tenacibaculum"	-1.0249843396937	2.21253741344292	0.00873778033633776	0.274581724969447	-117.304887538898	8.05784657988115	7.2664191635368e-05	0.0150545503160569	0.015986122159781	1	TRUE	FALSE	FALSE	TRUE
"9"	"Cryomorphaceae"	0.102427457498371	-0.100548829213858	0.330360213647519	0.410162421977702	0.310047800149618	-0.245143932808462	0.76184307411614	0.81048707600939	1	1	FALSE	FALSE	TRUE	TRUE
"10"	"Synechococcus CC9902"	-0.0237626183241648	0.35717045160967	0.158849904341712	0.267169110296689	-0.149591643902079	1.33687031114126	0.88338266580384	0.204190034164125	1	1	FALSE	FALSE	TRUE	TRUE
