""	"taxon"	"lfc_(Intercept)"	"lfc_typeafter"	"se_(Intercept)"	"se_typeafter"	"W_(Intercept)"	"W_typeafter"	"p_(Intercept)"	"p_typeafter"	"q_(Intercept)"	"q_typeafter"	"diff_(Intercept)"	"diff_typeafter"	"passed_ss_(Intercept)"	"passed_ss_typeafter"
"1"	"Marinifilum"	-0.549124078328273	0.487824842281062	0.0756928158005554	0.271330082834455	-7.25463932766316	1.79790179247723	0.00540364132322151	0.170036870439047	0.951040872886986	1	FALSE	FALSE	TRUE	TRUE
"2"	"Vibrio"	-0.0465434809635937	0.0907851414847661	0.201150626232115	0.368371101589432	-0.231386209605361	0.246450226668298	0.821680573516926	0.810318926511895	1	1	FALSE	FALSE	TRUE	TRUE
"3"	"Clade III"	0.0760423051492362	-0.131188712374494	0.188871588972455	0.454323367628243	0.402613784121476	-0.288756250992224	0.695704427868385	0.778665087400968	1	1	FALSE	FALSE	TRUE	TRUE
"4"	"Clade Ia"	0.325461660004175	-0.630027422084372	0.29408963878434	0.489712941007011	1.10667503061147	-1.28652393949163	0.294345246707325	0.227245625469778	1	1	FALSE	FALSE	TRUE	TRUE
"5"	"Proteobacteria"	0.579587945543933	-1.33579104702696	0.537379792252883	0.769602277599606	1.07854436266406	-1.73569009072232	0.306118878320064	0.113270190883186	1	1	FALSE	FALSE	TRUE	TRUE
"6"	"Candidatus Actinomarina"	-0.763628778018665	1.67292147328633	0.365399324384359	0.480910103790055	-2.08984726314221	3.47865736257572	0.0661997355146961	0.00695324949952008	1	1	FALSE	FALSE	TRUE	TRUE
"7"	"Sphingopyxis"	-0.189960737805398	0.483694456714454	0.919551684124517	1.05009370515999	-0.206579729105989	0.460620280207052	0.840112144318014	0.654043748186139	1	1	FALSE	FALSE	TRUE	TRUE
"8"	"Alteromonadaceae"	-0.745966996340074	0.462999978157166	9.28375405506863e-17	0.275407715208168	-8035186971942675	1.68114381910908	1	1	1	1	FALSE	FALSE	TRUE	TRUE
"9"	"Synechococcus CC9902"	0.536967615782903	-1.07623705200823	0.297950999691281	0.640939672414816	1.80220108789458	-1.6791549943435	0.101686951838288	0.124045773917838	1	1	FALSE	FALSE	TRUE	TRUE
"10"	"Symphothece PCC-7002"	0.348123274943942	-0.646880241213324	9.28375405506863e-17	0.269675438353605	3749811475820792	-2.39873621848023	1.69773807689421e-16	0.251450902199893	3.14081544225428e-14	1	TRUE	FALSE	FALSE	TRUE
"11"	"Litoricola"	0.306726654383672	-0.655033713014887	0.35673328339493	0.511499609794503	0.859820680214194	-1.28061429661315	0.410027162715072	0.229233423145482	1	1	FALSE	FALSE	TRUE	TRUE
"12"	"AEGEAN-169 marine group"	-0.119257154520472	0.330503359597113	0.456171102874422	0.567590896928928	-0.261430752121319	0.582291508523784	0.798590600094476	0.572112075432221	1	1	FALSE	FALSE	TRUE	TRUE
"13"	"Delftia"	0.613440432446389	-0.682093232471325	0.296924645750302	0.518069849979974	2.06598017788749	-1.31660476381262	0.0726816303272205	0.224436701221389	1	1	FALSE	FALSE	TRUE	TRUE
"14"	"Blastocatellaceae"	-0.100270234018267	0.244993911017684	0.470762981127136	0.731359508223225	-0.212995154755356	0.334984242719256	0.836077118514263	0.745312386006784	1	1	FALSE	FALSE	TRUE	TRUE
"15"	"Pseudomonas"	0.636224063494071	-0.720065950884129	0.218951309864636	0.471768441439381	2.90577875002167	-1.52631224904994	0.0197162513610831	0.165446660767436	1	1	FALSE	FALSE	TRUE	TRUE
"16"	"Clade II"	-0.0760932070649012	0.0562083400267418	0.279840678236447	0.391733231644338	-0.271916175819898	0.143486269446179	0.792572205124067	0.889454574415592	1	1	FALSE	FALSE	TRUE	TRUE
"17"	"Kordia"	-0.711862871326807	-0.202774227414524	9.28375405506863e-17	0.275407715208168	-7667834230681208	-0.736269233638776	1	1	1	1	FALSE	FALSE	TRUE	TRUE
"18"	"HIMB11"	0.329135473817445	-0.641014001801705	0.235939235242101	0.331295818943924	1.39500101998599	-1.93486897554299	0.190543040416473	0.0791289741486213	1	1	FALSE	FALSE	TRUE	FALSE
"19"	"SAR116 clade"	0.725040206350718	-1.49880758895713	0.412843046583778	0.524014054176408	1.75621271170807	-2.86024311182417	0.106817675370037	0.0155098957454866	1	1	FALSE	FALSE	TRUE	FALSE
"20"	"SAR86 clade"	-0.0891684465418406	0.268402785600219	0.231532543242621	0.372154133854773	-0.385122736065667	0.72121403790441	0.708211075440413	0.487296838226627	1	1	FALSE	FALSE	TRUE	TRUE
"21"	"Halodesulfovibrio"	-0.182205502954428	0.26790454649007	0.122451541897113	0.420201177720572	-1.48798047073611	0.637562578818432	0.210975308900378	0.558425379160835	1	1	FALSE	FALSE	TRUE	TRUE
"22"	"NS5 marine group"	0.342275005298161	-0.674733311680671	0.298620463743828	0.575679903081432	1.14618737445864	-1.17206334296028	0.278404489154071	0.26833796480475	1	1	FALSE	FALSE	TRUE	TRUE
"23"	"Campylobacterales"	0.212236653688284	-0.672277644777455	0.475329799899199	0.628349449117717	0.446503993087099	-1.06991045463861	0.667072282497423	0.315875037112619	1	1	FALSE	FALSE	TRUE	TRUE
"24"	"OM60(NOR5) clade"	0.392967028675542	-1.10699618251447	0.450063688007459	0.551920559691311	0.873136489671722	-2.00571651676396	0.405281991700837	0.0758503679244292	1	1	FALSE	FALSE	TRUE	FALSE
"25"	"S25-593"	0.623448022375686	-1.42137441511734	0.20225885311801	0.461218920957142	3.08242636979618	-3.08177819801416	0.0150614166244975	0.015076221304323	1	1	FALSE	FALSE	TRUE	TRUE
"26"	"Cryomorphaceae"	0.0731913131124388	-0.603661902344801	0.468530117419097	0.548705296509569	0.156214745629617	-1.10015687142957	0.881975146339966	0.321388661606651	1	1	FALSE	FALSE	TRUE	TRUE
"27"	"NS4 marine group"	0.0132402086235506	-0.333328155140611	0.233246985256566	0.352860370486447	0.0567647577909171	-0.944646049883955	0.956318914710573	0.376294991253854	1	1	FALSE	FALSE	TRUE	TRUE
"28"	"NS11-12 marine group"	-0.112296999852862	0.141793903061937	0.281948347319404	0.412165351270708	-0.398289264400784	0.3440218898187	0.704202973311726	0.742565884278756	1	1	FALSE	FALSE	TRUE	TRUE
"29"	"Aestuariibacter"	0.20339219162736	-1.61612564277019	0.0296828393725334	0.271482984885718	6.85218112306219	-5.9529537125522	0.0922563253781269	0.105952611634695	1	1	FALSE	FALSE	TRUE	TRUE
"30"	"Urania-1B-19 marine sediment group"	0.00609868275531769	-0.37836216092691	0.118104484930678	0.303612051968826	0.0516380284702766	-1.24620270662299	0.960493350286415	0.259139636871894	1	1	FALSE	FALSE	TRUE	TRUE
"31"	"Flavobacteriaceae"	-0.152627790629683	0.325571945919378	0.248583187216133	0.841450274986622	-0.613990802591887	0.38691762971324	0.55442190349469	0.707806979162022	1	1	FALSE	FALSE	TRUE	TRUE
"32"	"Candidatus Puniceispirillum"	-0.175862886733186	-0.676510480035465	0.110026123770734	0.305633844619554	-1.59837391981234	-2.21346716649646	0.20825309341393	0.113733287998986	1	1	FALSE	FALSE	TRUE	TRUE
"33"	"NS9 marine group"	0.230245021216876	-0.541438147071541	0.360295795724232	0.483707997686958	0.639044429464016	-1.11934917276672	0.538715878820505	0.291974007246741	1	1	FALSE	FALSE	TRUE	TRUE
"34"	"Bacteria"	0.144784855506864	-0.220939866212221	0.547511598632736	0.619193819090814	0.264441622549048	-0.356818591207249	0.797395786294656	0.729450483391168	1	1	FALSE	FALSE	TRUE	TRUE
"35"	"Cyclobacteriaceae"	0.133505793252144	-0.512983635690462	0.163139604674131	0.364059063012793	0.818353051172457	-1.40906706578113	0.444433543676741	0.208475141451144	1	1	FALSE	FALSE	TRUE	TRUE
