""	"taxon"	"lfc_(Intercept)"	"lfc_fractionRNA"	"lfc_typeafter"	"se_(Intercept)"	"se_fractionRNA"	"se_typeafter"	"W_(Intercept)"	"W_fractionRNA"	"W_typeafter"	"p_(Intercept)"	"p_fractionRNA"	"p_typeafter"	"q_(Intercept)"	"q_fractionRNA"	"q_typeafter"	"diff_(Intercept)"	"diff_fractionRNA"	"diff_typeafter"	"passed_ss_(Intercept)"	"passed_ss_fractionRNA"	"passed_ss_typeafter"
"1"	"Marinifilum"	-0.911401175382002	0.640642819749829	0.90073129953123	0.0970029978368905	0.193473579747924	0.205704915323372	-9.39559803001669	3.31126772236561	4.37875438277818	0.000715068187978887	0.0296192943139111	0.0118864659867534	0.120131455580453	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
"2"	"Vibrio"	-0.316358710053361	0.559612750652533	0.478963444740146	0.14694566648144	0.238284410050857	0.240367659766429	-2.15289581263915	2.34850761127467	1.99262848090948	0.0437130916505536	0.0292419034412068	0.0601274604667213	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
"3"	"Clade III"	1.16773494803723	-1.77802049633736	-0.291574062051517	0.162598035544502	0.270030189642338	0.277883583721837	7.18172851305836	-6.58452485884038	-1.04926695613435	2.01672000726518e-07	8.24451156511758e-07	0.304507065171278	3.63009601307732e-05	0.000148401208172116	1	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
"4"	"Clade Ia"	0.917826089300094	-1.09458225201164	-0.41271737421868	0.159671147781361	0.279686674889895	0.276320140545167	5.74822754175277	-3.91360172036279	-1.49362031086264	6.34784098184498e-06	0.000655284879628583	0.148306540779195	0.00113626353575025	0.114674853935002	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
"5"	"Proteobacteria"	-0.0571144541874499	1.25635331010397	-0.878549394478169	0.346390167448308	0.468997418379537	0.448308597314284	-0.164884744299138	2.67880645152563	-1.95969785041233	0.870540354673169	0.0137147808521151	0.0628207745767396	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
"6"	"Rhodobacteraceae"	-0.826949815955082	0.608804376776782	2.07500417412767	0.0990882801081585	0.199195895047673	0.209218385890285	-8.3455865320544	3.05630985332844	9.91788635256852	0.00112682532856243	0.0377944418054519	0.000580228552700998	0.184799353884239	1	0.10444113948618	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"7"	"Candidatus Actinomarina"	0.604779900726585	-1.70434186717541	0.813630028582006	0.237050891698006	0.369577090121576	0.357789409642615	2.5512660863434	-4.61160042851886	2.27404726538641	0.0178485013302932	0.000122546944757698	0.0326118074792906	1	0.021935903111628	1	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"8"	"Sphingopyxis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"9"	"Tenacibaculum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"10"	"Cryomorphaceae"	0.181741611366822	-0.174706203730214	-0.0391159622436808	0.2915440909578	0.374850862093883	0.343301596392236	0.623376075878447	-0.466068565920647	-0.113940519516225	0.540856727342426	0.646756884096923	0.910546220599773	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"11"	"Synechococcus CC9902"	0.165289447735793	0.201870217277368	-0.0374904522789043	0.203248054539759	0.357173815668387	0.363101513134552	0.813239999320434	0.565187615725986	-0.103250608776757	0.424075241377987	0.577191904365581	0.918622003894652	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"12"	"Litoricola"	0.277426422329248	0.0737938696803207	-0.174599484819097	0.147369575238253	0.29770116209995	0.289829055579729	1.8825216933735	0.247879011152617	-0.602422294996805	0.0719439551665976	0.806336541303136	0.552542996261447	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"13"	"AEGEAN-169 marine group"	0.591986053847437	-1.14048427597642	0.452914709776043	0.155221089043441	0.33690193816078	0.312372958348471	3.81382489644665	-3.38521138288063	1.44991651060521	0.00079793335023404	0.00235182280617346	0.159512375841551	0.133254869489085	0.392754408630968	1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"14"	"Delftia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"15"	"Blastocatellaceae"	0.483404102350969	-1.26448784899364	0.764551670332727	0.409231960054486	0.483014105519648	0.468026393121744	1.18124718872546	-2.61791081159679	1.63356528941275	0.250710001262403	0.0160723117190316	0.117254316527878	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"16"	"Pseudomonas"	-2.01741623774844	3.57650709413806	0.199683205923023	0.149894200574586	0.296602043329943	0.307326291707832	-13.4589345686166	12.0582685607446	0.649743322686032	5.21746600516883e-09	1.97175991579327e-08	0.527172797307247	9.44361346935558e-07	3.56888544758581e-06	1	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
"17"	"Clade II"	0.784631455306278	-1.13367923577324	-0.3543082665413	0.167399899301689	0.277761728994005	0.272574488577236	4.68716802446942	-4.0814810588888	-1.2998585024985	0.000112665507425954	0.000494441859953774	0.207104704343799	0.0197164637995419	0.0880106510717717	1	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
"18"	"HIMB11"	0.432035655378971	-0.219246215900871	-0.171875592212713	0.130535279531323	0.21876231444945	0.213486899498644	3.30972329419419	-1.00221199639727	-0.805087303325633	0.00283620622387646	0.325843653426072	0.428360200536242	0.445284377148604	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"19"	"Roseibacillus"	-0.87834175443722	2.03373830467905	1.18714878064374	0.208509684177952	0.233163907340193	0.240446600893447	-4.21247462869688	8.72235470694769	4.93726580551587	0.148380673602455	0.0726698594037851	0.127220741482084	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"20"	"Rubritalea"	-0.0714603380784216	-0.192635602452608	0.411182885738136	0.226845371362566	0.380069004863885	0.438508634748911	-0.315017836375453	-0.506843757284541	0.937684809726902	0.758643260702129	0.62227011195535	0.368538424547975	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"21"	"SAR116 clade"	0.790350702227697	-0.487645346717865	-0.717178309807995	0.235940366144303	0.342014347426318	0.32191151963558	3.34979009799583	-1.42580377223187	-2.22787401525698	0.00256819171783308	0.16629289079528	0.0351211353733602	0.405774291417627	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
