""	"taxon"	"lfc_(Intercept)"	"lfc_fractionRNA"	"lfc_typeafter"	"se_(Intercept)"	"se_fractionRNA"	"se_typeafter"	"W_(Intercept)"	"W_fractionRNA"	"W_typeafter"	"p_(Intercept)"	"p_fractionRNA"	"p_typeafter"	"q_(Intercept)"	"q_fractionRNA"	"q_typeafter"	"diff_(Intercept)"	"diff_fractionRNA"	"diff_typeafter"	"passed_ss_(Intercept)"	"passed_ss_fractionRNA"	"passed_ss_typeafter"
"1"	"Bacteroidales"	-0.43857477163032	1.23325910854116	-0.0032788063522523	0.162825679616469	0.292960958091383	0.297229053820808	-2.69352335984945	4.2096363849154	-0.0110312444564353	0.0166738825084843	0.000758008043702157	0.991343899956473	1	0.0720107641517049	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"2"	"Enterobacterales"	-0.539756747478462	0.63036107092639	1.06502220294521	0.268950424803546	0.34822328533273	0.347496058049167	-2.00690052031978	1.81022090560106	3.06484686164273	0.0561513725764833	0.0828012665811822	0.0053169183733641	1	1	0.510424163842953	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"3"	"SAR11 clade"	1.12909669887441	-1.74465360096663	-0.145826693214163	0.190707130067471	0.391911137617534	0.365022510013997	5.92057936415354	-4.45165608605194	-0.399500549181395	3.52557966678367e-06	0.000154367538033285	0.692917021763123	0.00035608354634515	0.0149736511892287	1	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
"4"	"Proteobacteria"	-0.0571144541874499	1.25635331010397	-0.878549394478169	0.346442614524924	0.469364886537742	0.448487288441641	-0.164859782812143	2.67670920032265	-1.95891704652514	0.870559768442593	0.0137792991655221	0.0629176605575333	1	0.992109539917589	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
"5"	"Rhodobacterales"	0.42958734645247	-0.24565185632858	-0.137556760920859	0.139404296424941	0.230131350186279	0.228589828352568	3.0815933042908	-1.06744194621784	-0.601762387732743	0.00495905568775976	0.295972237389359	0.552750954392718	0.41160162208406	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"6"	"Actinomarinales"	0.618713111137119	-1.69056626409556	0.766921382713623	0.22842985735714	0.372804323110135	0.35904242713886	2.70854746527197	-4.53472816514558	2.13601882324903	0.0125333542650782	0.000148439424565757	0.0435461656506601	0.952534924145946	0.0145470636074441	1	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"7"	"Sphingomonadales"	-3.22576631706652	3.72539609943134	0.930547789538444	0.214987465753409	0.589836696063083	0.524415888650176	-15.0044390065348	6.31597885363325	1.77444621659659	1.37549485308608e-09	2.67589017088022e-05	0.099395948386245	1.41675969867866e-07	0.00270264907258902	1	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
"8"	"Flavobacteriales"	0.525580976479284	-0.451061944210933	-0.139014302444209	0.201782226569538	0.351862998412581	0.354910596232382	2.60469410717974	-1.2819249146568	-0.391688227739437	0.0152609446573639	0.211630315225619	0.698607461822512	1	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"9"	"Pseudomonadales"	0.00575691551921125	0.639486833425139	-0.10751933597645	0.120161298879598	0.22202427003255	0.225350159122244	0.047909897553452	2.88025643922346	-0.47712118950901	0.962168744211333	0.00803552353153404	0.637420392171165	1	0.634806358991189	1	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
"10"	"Synechococcales"	0.147478609088074	0.230643934046745	-0.0261897820909108	0.204913152883924	0.363901927363764	0.37001034735268	0.719712751536331	0.633807948525066	-0.0707812153857082	0.478652590081898	0.532200826652284	0.9441583948642	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
