"taxon" "lfc_(Intercept)" "lfc_typeuntreated" "se_(Intercept)" "se_typeuntreated" "W_(Intercept)" "W_typeuntreated" "p_(Intercept)" "p_typeuntreated" "q_(Intercept)" "q_typeuntreated" "diff_(Intercept)" "diff_typeuntreated"
"1" "Marinifilum" 0.305068616115551 -0.189679301129379 0.252382890324672 0.33446402024811 1.20875315962624 -0.567114217513359 0.226757691823587 0.57063658402275 1 1 FALSE FALSE
"2" "Vibrio" 0.69116455310287 -0.865347190857188 0.457803087342632 0.606155118669113 1.5097420096374 -1.42760023664761 0.131109267344741 0.153406955471456 1 1 FALSE FALSE
"3" "Clade III" -0.0050318288850699 0.352996477621707 0.515196459269646 0.682070707751835 -0.00976681573511419 0.517536486481314 0.992207332408265 0.604781705640191 1 1 FALSE FALSE
"4" "Clade Ia" -0.0498215193740668 0.431378435977453 0.466584352775631 0.617770190721555 -0.106779233117628 0.69828302248382 0.914964122839988 0.485000214512712 1 1 FALSE FALSE
"5" "Halarcobacter" 0.678974895654651 -0.844015290322805 0.169106640157676 0.224337112110551 4.01506939657467 -3.76226332942578 5.94283061894787e-05 0.000168382622077317 0.0105188101955377 0.0296353414856077 TRUE TRUE
"6" "Proteobacteria" -0.79427084997046 1.73416476452114 0.455847485011223 0.603568429351937 -1.7424048088165 2.87318666813496 0.0814376350601191 0.00406353938784674 1 0.690801695933946 FALSE FALSE
"7" "Rhodobacteraceae" -0.122577309607849 0.55870106888657 0.373914191363374 0.495197175024734 -0.327822030934168 1.12823961255163 0.743046228730033 0.259218738772285 1 1 FALSE FALSE
"8" "Candidatus Actinomarina" 0.40626809101503 -0.366778382203466 0.535199910643858 0.708530135070401 0.759095961967333 -0.517660949123953 0.447795154528085 0.604694848904745 1 1 FALSE FALSE
"9" "Sphingopyxis" 0.602386126216722 -0.709984943806428 0.819972874773093 1.08522451215588 0.734641528701077 -0.654228628135198 0.462557839139763 0.512964520141204 1 1 FALSE FALSE
"10" "Tenacibaculum" 0.207877154997208 -0.0195942441722782 0.274681489513422 0.363953758204932 0.756793460547511 -0.0538371804949056 0.449173611264551 0.957064886709764 1 1 FALSE FALSE
"11" "Cryomorphaceae" -0.441232959745036 1.11634845662665 0.543664835948735 0.719727108182197 -0.811590028579009 1.55107184922657 0.417026914841433 0.120884466529993 1 1 FALSE FALSE
"12" "Synechococcus CC9902" 0.194413995347151 0.00396628521532034 0.403887269615582 0.5348412401117 0.48135707652334 0.00741581784996982 0.630262737853874 0.994083087664628 1 1 FALSE FALSE
"13" "Litoricola" 0.103835853175396 0.162478034015891 0.391407587364334 0.518334817760643 0.265288299275463 0.313461547340855 0.790787377517985 0.753930030406083 1 1 FALSE FALSE
"14" "AEGEAN-169 marine group" 0.280278998198614 -0.14629746977474 0.369529115788317 0.489397300389842 0.758476088144487 -0.298933953371225 0.448166022626845 0.764990439900831 1 1 FALSE FALSE
"15" "Delftia" 0.963195245878891 -1.34140090321523 0.731875726816225 0.968688736087634 1.31606393078364 -1.38475947251427 0.188152585912941 0.166126027046904 1 1 FALSE FALSE
"16" "Blastocatellaceae" 0.571080202892921 -0.655199577989777 0.570006098578463 0.754570171943327 1.00188437337274 -0.868308346064582 0.31639944068677 0.385225554422738 1 1 FALSE FALSE
"17" "Pseudomonas" 0.988824668211605 -1.38625239229747 0.704251804521071 0.932147812468833 1.40407828828221 -1.48715941158079 0.160295538140603 0.136972713165616 1 1 FALSE FALSE
"18" "Clade II" -0.329862165944349 0.921449567475447 0.509404196338474 0.67440906569938 -0.64754505030652 1.36630661469516 0.517279247694728 0.171842745710858 1 1 FALSE FALSE
"19" "Lentisphaera" 0.503574488773677 -0.5370645782811 0.135598085274082 0.180015337889778 3.71372861022198 -2.98343788133175 0.000204227804820217 0.00285029887408078 0.0359440936483581 0.487401107467814 TRUE FALSE
"20" "Cyanobacteriia" -0.0135616997841079 0.367923751695024 0.175296132624907 0.232522421986675 -0.07736451216027 1.58231515288495 0.938333571334428 0.113577643235336 1 1 FALSE FALSE
"21" "HIMB11" -0.0438426722208337 0.420915453459294 0.228009408683434 0.302231228594334 -0.192284487179669 1.39269345334351 0.847519369104538 0.163712509143308 1 1 FALSE FALSE
"22" "Roseibacillus" 0.196928986156113 -0.000434948700362794 0.243660625004762 0.32292911742146 0.808210133058076 -0.001346885978681 0.418969625435236 0.998925340797372 1 1 FALSE FALSE
"23" "Rubritalea" 0.147634499846607 0.0858304023412723 0.40031433890822 0.530115440804728 0.368796431947084 0.161908889525986 0.712279464398532 0.871377602358868 1 1 FALSE FALSE
"24" "SAR116 clade" -0.364798747143544 0.982588584574037 0.360964837392903 0.47806990316455 -1.01062128316523 2.05532408141542 0.312197725303299 0.0398477128546248 1 1 FALSE FALSE
"25" "SAR86 clade" 0.0514381626010478 0.254173992521002 0.381610174764266 0.505376233092918 0.134792429559361 0.502940138212376 0.892775991547565 0.615006359944008 1 1 FALSE FALSE
"26" "Halodesulfovibrio" 0.745815030121003 -0.960985525638921 0.237083982537547 0.314231813932564 3.14578413159096 -3.05820570365658 0.00165642214276734 0.00222666670749969 0.288217452841517 0.382986673689946 FALSE FALSE
"27" "NS5 marine group" -0.173351131426553 0.647555257069303 0.482199058076256 0.638424036984574 -0.359501182184265 1.01430275108039 0.719220193586467 0.310438311730781 1 1 FALSE FALSE
"28" "Cohaesibacter" -0.0508324169082173 0.433147506662216 0.440315163770277 0.583023803163224 -0.115445528772972 0.742932800191267 0.908091993433588 0.457522366246514 1 1 FALSE FALSE
"29" "Thiovulum" -0.572501090702651 1.34606768580247 0.498910491538124 0.660528692269242 -1.14750260901038 2.03786406488728 0.251173955460838 0.0415635292415369 1 1 FALSE FALSE
"30" "Thalassotalea" 0.466422029781669 -0.472047775045086 0.22080995499363 0.292710467970477 2.11232337688364 -1.61267814683245 0.0346587221034677 0.106814450686153 1 1 FALSE FALSE
"31" "OM60(NOR5) clade" -0.241544607980636 0.766893841038949 0.487409200319634 0.645315614244512 -0.495568421404922 1.1884011855761 0.620198937194482 0.234675389566909 1 1 FALSE FALSE
"32" "Enterobacterales" 0.149952122505097 0.0817745626889147 0.375973740652839 0.497921223068064 0.398836690681432 0.164231928466597 0.690013540139192 0.869548567064967 1 1 FALSE FALSE
"33" "Pseudoteredinibacter" 0.410395631387152 -0.374001577854681 0.301232292165357 0.399068064005849 1.36238923269844 -0.937187441411496 0.173075079969855 0.348662148620656 1 1 FALSE FALSE
"34" "Gammaproteobacteria" -0.221521230868358 0.731852931092462 0.39173909692588 0.518773291658005 -0.565481547812604 1.41073748949845 0.571746271533871 0.158322032416546 1 1 FALSE FALSE
"35" "Flavobacteriaceae" 0.323718894734797 -0.222317288713059 0.518100707766843 0.68591227134848 0.624818476180267 -0.324119130098068 0.532090202920248 0.745847844325886 1 1 FALSE FALSE
"36" "S25-593" -0.484655969619449 1.19233872390687 0.432737173126136 0.573000441615188 -1.11997766708657 2.08086876957002 0.262723279114102 0.0374459194189074 1 1 FALSE FALSE
"37" "NS4 marine group" -0.0717680662426517 0.469784892997476 0.499644956292223 0.66150019153816 -0.14363812811247 0.710181038504469 0.885786230959551 0.477591877694922 1 1 FALSE FALSE
"38" "NS11-12 marine group" -0.045466654216774 0.42375742195219 0.52959818369632 0.701120471741836 -0.0858512276221199 0.604400297853839 0.931584683013061 0.545577537791585 1 1 FALSE FALSE
"39" "Aestuariibacter" -0.0578037859821989 0.445347402541683 0.244035993830824 0.323425527412457 -0.236865820794743 1.37697047634011 0.812760886544223 0.168521375929592 1 1 FALSE FALSE
"40" "Urania-1B-19 marine sediment group" 0.0568616432407908 0.244682901401452 0.403160518921702 0.533879989723972 0.141039711410417 0.458310680510723 0.887838570715092 0.646729251904564 1 1 FALSE FALSE
"41" "Sandaracinaceae" 0.15273244538817 0.0769089976435379 0.207474227467631 0.275075100895496 0.736151411442167 0.279592727197641 0.46163855809493 0.779789987515839 1 1 FALSE FALSE
"42" "Candidatus Puniceispirillum" -0.00625669057332065 0.355139985576147 0.637610361174844 0.843995187412345 -0.00981271785137281 0.420784372793631 0.992170709573397 0.67391254392328 1 1 FALSE FALSE
"43" "NS9 marine group" -0.0381412692909435 0.410937998331986 0.511124836934836 0.676685019496187 -0.0746222185555936 0.607281063555895 0.940515295557673 0.543664403110854 1 1 FALSE FALSE
