sample	sample.abr	type 	treatment
1A.DNA	1A	DNA	antibiotic
2A.DNA	2A	DNA	antibiotic
3A.DNA	3A	DNA	antibiotic
4A.DNA	4A	DNA	antibiotic
5A.DNA	5A	DNA	antibiotic
6A.DNA	6A	DNA	antibiotic
7A.DNA	7A	DNA	antibiotic
8A.DNA	8A	DNA	antibiotic
10A.DNA.2	10A	DNA	antibiotic
1D.DNA	1D	DNA	diseased
2D.DNA	2D	DNA	diseased
3D.DNA	3D	DNA	diseased
4D.DNA	4D	DNA	diseased
5D.DNA	5D	DNA	diseased
6D.DNA	6D	DNA	diseased
7D.DNA.1	7D	DNA	diseased
8D.DNA	8D	DNA	diseased
9D.DNA	9D	DNA	diseased
10D.DNA	10D	DNA	diseased
1H.DNA	1H	DNA	healthy
2H.DNA	2H	DNA	healthy
3H.DNA	3H	DNA	healthy
4H.DNA	4H	DNA	healthy
5H.DNA	5H	DNA	healthy
6H.DNA.2	6H.2	DNA	healthy
6H.DNA.1	6H.1	DNA	healthy
7H.DNA	7H	DNA	healthy
9H.DNA	9H	DNA	healthy
10H.DNA	10H	DNA	healthy
1A.RNA	1A	RNA 	antibiotic
2A.RNA	2A	RNA 	antibiotic
3A.RNA	3A	RNA 	antibiotic
5A.RNA	5A	RNA 	antibiotic
6A.RNA	6A	RNA 	antibiotic
7A.RNA	7A	RNA 	antibiotic
8A.RNA	8A	RNA 	antibiotic
10A.RNA	10A	RNA 	antibiotic
2D.RNA	2D	RNA 	diseased
7D.RNA	7D	RNA 	diseased
8D.RNA	8D	RNA 	diseased
9D.RNA	9D	RNA 	diseased
10D.RNA	10D	RNA 	diseased
1H.RNA	1H	RNA 	healthy
2H.RNA	2H	RNA 	healthy
3H.RNA	3H	RNA 	healthy
4H.RNA	4H	RNA 	healthy
5H.RNA	5H	RNA 	healthy
6H.RNA	6H	RNA 	healthy
7H.RNA	7H	RNA 	healthy
8H.RNA	8H	RNA 	healthy
9H.RNA	9H	RNA 	healthy
10H.RNA	10H	RNA 	healthy
