""	"ASV1"	"ASV2"	"ASV3"	"ASV4"	"ASV5"	"ASV6"	"ASV7"	"ASV8"	"ASV9"	"ASV10"	"ASV11"	"ASV12"	"ASV13"	"ASV14"	"ASV15"	"ASV17"	"ASV18"	"ASV19"	"ASV20"	"ASV21"	"ASV22"	"ASV23"	"ASV24"	"ASV25"	"ASV26"	"ASV27"	"ASV28"	"ASV30"	"ASV31"	"ASV32"	"ASV34"	"ASV35"	"ASV36"	"ASV37"	"ASV38"	"ASV39"	"ASV40"	"ASV41"	"ASV42"	"ASV43"	"ASV44"	"ASV45"	"ASV46"	"ASV47"	"ASV48"	"ASV49"	"ASV50"	"ASV51"	"ASV52"	"ASV53"	"ASV54"	"ASV55"	"ASV56"	"ASV57"	"ASV58"	"ASV59"	"ASV60"	"ASV61"	"ASV62"	"ASV63"	"ASV64"	"ASV65"	"ASV66"	"ASV67"	"ASV68"	"ASV69"	"ASV70"	"ASV71"	"ASV72"	"ASV73"	"ASV74"	"ASV75"	"ASV76"	"ASV77"	"ASV78"	"ASV79"	"ASV80"	"ASV81"	"ASV82"	"ASV83"	"ASV84"	"ASV85"	"ASV86"	"ASV87"	"ASV88"	"ASV89"	"ASV90"	"ASV91"	"ASV92"	"ASV93"	"ASV94"	"ASV95"	"ASV96"	"ASV97"	"ASV98"	"ASV100"	"ASV101"	"ASV102"	"ASV103"	"ASV104"	"ASV105"	"ASV106"	"ASV107"	"ASV108"	"ASV109"	"ASV110"	"ASV112"	"ASV113"	"ASV114"	"ASV115"	"ASV116"	"ASV117"	"ASV118"	"ASV119"	"ASV120"	"ASV121"	"ASV122"	"ASV123"	"ASV124"	"ASV125"	"ASV126"	"ASV127"	"ASV128"	"ASV129"	"ASV130"	"ASV131"	"ASV132"	"ASV133"	"ASV134"	"ASV135"	"ASV136"	"ASV137"	"ASV138"	"ASV139"	"ASV140"	"ASV141"	"ASV142"	"ASV143"	"ASV144"	"ASV145"	"ASV146"	"ASV147"	"ASV148"	"ASV149"	"ASV150"	"ASV151"	"ASV152"	"ASV153"	"ASV154"	"ASV155"	"ASV156"	"ASV157"	"ASV158"	"ASV159"	"ASV160"	"ASV161"	"ASV162"	"ASV163"	"ASV165"	"ASV166"	"ASV167"	"ASV168"	"ASV169"	"ASV170"	"ASV171"	"ASV172"	"ASV173"	"ASV174"	"ASV175"	"ASV176"	"ASV177"	"ASV179"	"ASV180"	"ASV181"	"ASV182"	"ASV183"	"ASV184"	"ASV185"	"ASV186"	"ASV187"	"ASV188"	"ASV191"	"ASV192"	"ASV193"	"ASV194"	"ASV195"	"ASV196"	"ASV197"	"ASV198"	"ASV199"	"ASV201"	"ASV202"	"ASV203"	"ASV204"	"ASV205"	"ASV206"	"ASV207"	"ASV208"	"ASV209"	"ASV210"	"ASV211"	"ASV212"	"ASV213"	"ASV214"	"ASV215"	"ASV216"	"ASV217"	"ASV218"	"ASV219"	"ASV220"	"ASV221"	"ASV223"	"ASV224"	"ASV226"	"ASV227"	"ASV228"	"ASV229"	"ASV230"	"ASV231"	"ASV232"	"ASV233"	"ASV235"	"ASV236"	"ASV237"	"ASV239"	"ASV240"	"ASV242"	"ASV243"	"ASV244"	"ASV245"	"ASV248"	"ASV249"	"ASV250"	"ASV251"	"ASV252"	"ASV253"	"ASV254"	"ASV255"	"ASV257"	"ASV258"	"ASV259"	"ASV261"	"ASV262"	"ASV264"	"ASV265"	"ASV266"	"ASV268"	"ASV269"	"ASV270"	"ASV272"	"ASV273"	"ASV275"	"ASV276"	"ASV277"	"ASV278"	"ASV279"	"ASV280"	"ASV281"	"ASV282"	"ASV283"	"ASV284"	"ASV285"	"ASV286"	"ASV287"	"ASV289"	"ASV290"	"ASV291"	"ASV292"	"ASV294"	"ASV295"	"ASV296"	"ASV298"	"ASV299"	"ASV301"	"ASV302"	"ASV303"	"ASV304"	"ASV305"	"ASV309"	"ASV310"	"ASV311"	"ASV312"	"ASV313"	"ASV314"	"ASV316"	"ASV317"	"ASV319"	"ASV320"	"ASV321"	"ASV322"	"ASV323"	"ASV324"	"ASV325"	"ASV327"	"ASV328"	"ASV329"	"ASV332"	"ASV333"	"ASV334"	"ASV335"	"ASV336"	"ASV338"	"ASV340"	"ASV341"	"ASV343"	"ASV344"	"ASV345"	"ASV346"	"ASV349"	"ASV350"	"ASV351"	"ASV352"	"ASV353"	"ASV354"	"ASV356"	"ASV357"	"ASV359"	"ASV364"	"ASV365"	"ASV366"	"ASV367"	"ASV369"	"ASV375"	"ASV376"	"ASV377"	"ASV381"	"ASV383"	"ASV386"	"ASV388"	"ASV389"	"ASV390"	"ASV391"	"ASV394"	"ASV395"	"ASV398"	"ASV399"	"ASV400"	"ASV401"	"ASV403"	"ASV406"	"ASV407"	"ASV408"	"ASV414"	"ASV418"	"ASV419"	"ASV422"	"ASV427"	"ASV432"	"ASV433"	"ASV439"
"1A"	0	0	0	99	0	104	91	0	0	0	0	0	0	0	107	0	0	0	0	52	0	0	0	21	0	82	0	229	0	0	29	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	10	0	0	0	0	8	0	0	0	0	0	13	0	21	13	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	26	0	0	0	0	19	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	8	0	0	0	7	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2A"	0	0	0	277	0	245	299	0	0	0	60	0	0	0	235	0	0	0	0	70	0	0	0	152	0	238	0	133	0	0	114	0	0	0	138	0	0	119	0	0	57	0	0	0	0	0	70	138	164	0	80	0	0	70	0	0	0	0	35	0	0	0	0	0	46	0	37	49	0	0	71	0	0	4	62	0	0	0	0	0	42	0	37	43	0	0	55	110	0	0	0	0	92	0	21	0	0	0	0	37	23	0	0	0	40	0	5	0	0	36	0	0	44	41	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	65	0	0	18	0	64	0	18	0	38	0	0	0	11	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	54	0	0	0	24	0	5	0	0	0	0	47	0	0	0	0	0	56	0	0	0	40	18	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	15	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3A"	0	0	0	45	0	77	78	0	0	0	15	0	0	0	38	0	0	0	0	71	0	0	0	29	0	42	0	149	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	21	0	22	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	21	18	0	0	0	0	0	0	0	0	10	0	0	0	0	0	8	4	0	0	0	0	0	0	16	0	3	0	0	0	0	0	0	2	8	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"4A"	0	27	0	166	0	165	160	0	14	0	0	0	46	0	135	44	0	53	0	105	0	10	0	46	0	126	0	213	0	0	45	0	0	0	0	0	0	69	0	0	0	0	0	5	327	0	50	0	82	0	0	0	0	32	0	0	0	42	0	0	0	25	0	0	34	0	18	14	0	119	25	0	25	0	0	0	0	34	40	0	23	0	8	14	0	0	20	34	47	0	0	0	0	0	14	0	0	0	0	0	11	0	0	0	14	0	0	0	0	21	11	0	25	77	0	0	0	0	0	0	0	6	65	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	128	0	0	26	0	0	0	0	0	14	0	0	0	13	0	0	23	0	0	0	44	0	0	20	0	0	0	47	0	0	0	0	0	28	0	0	0	5	0	0	10	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	25	14	5	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	9	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5A"	0	0	0	121	0	102	114	0	0	0	22	0	0	0	81	0	0	0	0	63	0	0	0	45	0	59	0	286	0	0	30	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	45	0	29	0	30	2	0	18	0	0	0	0	3	0	0	0	0	0	12	0	12	17	0	0	25	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	16	26	0	0	0	0	0	0	22	0	0	0	0	0	12	0	0	0	19	2	0	0	0	0	11	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	7	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"6A"	0	0	0	0	0	73	68	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	46	0	35	0	28	0	0	17	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	12	0	0	0	0	7	0	0	0	0	0	0	0	14	11	0	0	13	0	0	0	27	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"7A"	0	0	0	0	0	0	29	0	0	0	6	0	0	0	12	0	0	0	0	17	0	0	0	0	0	7	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"8A"	0	0	0	180	0	300	187	0	0	0	20	0	0	0	262	0	0	0	0	77	0	0	0	127	0	211	0	0	0	0	136	0	0	0	113	0	0	143	0	0	72	0	0	0	0	0	39	117	141	0	59	8	0	60	0	0	0	0	0	0	0	0	0	0	57	0	53	58	0	0	88	0	0	0	65	0	0	0	0	0	17	0	36	42	0	0	48	43	0	0	0	0	54	0	21	0	0	0	0	35	42	0	0	0	55	0	0	0	0	53	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	757	0	0	0	0	0	73	0	0	0	0	0	0	0	72	0	0	0	0	32	0	12	0	9	0	0	0	20	0	0	33	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	81	0	8	0	220	0	0	49	0	0	0	0	0	62	0	0	0	42	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	4	27	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0
"10A"	0	0	0	139	0	136	125	0	0	0	0	0	0	0	118	0	0	0	0	53	0	0	0	99	0	137	0	160	0	0	65	0	0	0	101	0	0	68	0	0	0	0	0	0	0	0	41	66	62	0	54	0	0	46	0	0	0	0	0	0	0	0	0	0	22	0	42	14	0	0	63	0	0	0	61	0	0	0	0	0	22	0	8	28	0	0	18	53	0	0	0	0	38	0	44	0	0	0	0	0	19	0	0	0	24	0	0	0	0	29	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	7	0	0	0	0	126	0	0	0	0	0	0	12	0	16	0	0	0	8	0	0	9	0	0	0	0	0	0	33	5	0	0	0	0	0	0	0	0	8	0	0	0	2	0	0	8	0	16	0	12	0	0	42	0	0	0	0	0	0	0	0	0	24	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	24	0	0	0	0	0	0	10	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1D"	0	1175	0	20	0	14	0	0	0	53	0	0	494	35	10	330	536	123	295	186	4888	9	0	0	229	0	0	15	37	0	7	91	99	0	0	261	0	0	219	0	0	0	165	46	0	0	0	0	0	54	123	0	68	0	0	38	152	104	2	73	0	0	28	0	0	0	0	0	822	91	0	0	0	0	0	241	148	0	11	196	0	34	3	0	0	0	0	0	0	1247	65	0	0	478	43	0	94	78	61	0	6	0	934	7	0	110	79	5	0	7	0	0	0	0	0	0	132	145	0	62	0	39	0	0	0	0	32	5	46	0	0	0	86	33	100	0	0	54	0	0	41	0	0	10	0	0	0	0	0	0	63	0	58	107	74	0	0	55	0	0	0	25	0	0	61	38	0	19	0	0	17	89	23	0	0	0	19	114	4	0	50	0	0	0	111	53	0	44	0	0	0	14	0	69	30	0	0	0	51	0	0	154	0	45	0	0	0	0	33	397	0	0	32	0	36	55	77	0	24	0	0	0	21	0	0	0	0	0	0	53	0	61	0	23	0	0	330	0	40	0	0	5	0	15	0	0	29	0	295	19	47	0	30	0	0	0	0	0	34	0	0	82	26	38	0	66	121	0	131	0	0	0	18	59	11	0	0	15	0	0	0	0	0	36	0	0	23	0	0	22	0	6	11	0	216	12	0	0	0	43	6	0	0	0	0	0	0	28	112	0	49	23	65	0	0	21	0	0	73	187	0	0	0	0	32	0	176	101	0	0	0	0	0	0	0	45	0	39	0	0	0	0	0	18	74	0	0	0	0	26
