""	"ASV1"	"ASV2"	"ASV3"	"ASV4"	"ASV5"	"ASV6"	"ASV7"	"ASV8"	"ASV9"	"ASV10"	"ASV11"	"ASV12"	"ASV13"	"ASV14"	"ASV15"	"ASV16"	"ASV17"	"ASV18"	"ASV19"	"ASV20"	"ASV21"	"ASV23"	"ASV24"	"ASV25"	"ASV26"	"ASV27"	"ASV29"	"ASV30"	"ASV31"	"ASV32"	"ASV33"	"ASV34"	"ASV35"	"ASV36"	"ASV37"	"ASV38"	"ASV39"	"ASV40"	"ASV41"	"ASV42"	"ASV43"	"ASV45"	"ASV46"	"ASV47"	"ASV48"	"ASV49"	"ASV50"	"ASV51"	"ASV52"	"ASV53"	"ASV54"	"ASV55"	"ASV56"	"ASV57"	"ASV58"	"ASV59"	"ASV60"	"ASV61"	"ASV62"	"ASV63"	"ASV64"	"ASV65"	"ASV66"	"ASV68"	"ASV69"	"ASV70"	"ASV71"	"ASV73"	"ASV74"	"ASV75"	"ASV76"	"ASV77"	"ASV78"	"ASV79"	"ASV80"	"ASV81"	"ASV82"	"ASV83"	"ASV84"	"ASV85"	"ASV86"	"ASV87"	"ASV88"	"ASV89"	"ASV90"	"ASV91"	"ASV92"	"ASV94"	"ASV95"	"ASV96"	"ASV97"	"ASV98"	"ASV99"	"ASV102"	"ASV104"	"ASV105"	"ASV108"	"ASV109"	"ASV110"	"ASV111"	"ASV113"	"ASV114"	"ASV115"	"ASV116"	"ASV117"	"ASV120"	"ASV121"	"ASV123"	"ASV124"	"ASV125"	"ASV128"	"ASV130"	"ASV133"	"ASV135"	"ASV136"	"ASV137"	"ASV138"	"ASV140"	"ASV144"	"ASV145"	"ASV146"	"ASV147"	"ASV152"	"ASV153"	"ASV157"	"ASV159"	"ASV160"	"ASV161"	"ASV162"	"ASV164"	"ASV165"	"ASV167"	"ASV169"	"ASV170"	"ASV171"	"ASV172"	"ASV173"	"ASV174"	"ASV175"	"ASV176"	"ASV178"	"ASV184"	"ASV186"	"ASV187"	"ASV188"	"ASV189"	"ASV190"	"ASV191"	"ASV192"	"ASV196"	"ASV198"	"ASV200"	"ASV201"	"ASV203"	"ASV208"	"ASV211"	"ASV216"	"ASV217"	"ASV222"	"ASV225"	"ASV228"	"ASV231"	"ASV234"	"ASV237"	"ASV238"	"ASV241"	"ASV246"	"ASV247"	"ASV248"	"ASV252"	"ASV256"	"ASV260"	"ASV261"	"ASV263"	"ASV267"	"ASV271"	"ASV274"	"ASV288"	"ASV293"	"ASV297"	"ASV300"	"ASV306"	"ASV307"	"ASV315"	"ASV318"	"ASV326"	"ASV331"	"ASV337"	"ASV339"	"ASV342"	"ASV355"	"ASV363"	"ASV370"	"ASV392"	"ASV393"	"ASV409"	"ASV421"	"ASV436"	"ASV507"
"1A"	0	0	0	0	0	14	0	0	0	0	153	0	0	0	0	993	0	0	0	0	35	0	0	34	0	12	236	37	0	0	352	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	8	0	0	0	40	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0
"2A"	0	0	0	75	0	85	65	0	0	0	90	0	0	0	56	87	0	0	0	0	0	0	0	48	0	68	42	24	0	0	34	0	0	0	0	40	0	0	29	0	0	0	0	0	0	0	0	0	33	0	33	0	0	9	0	0	0	0	13	0	0	0	0	57	0	0	0	0	0	0	0	0	8	0	0	0	0	0	16	0	0	0	0	0	22	22	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	10	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	58	0	0	4	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	10	0	36	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0
"3A"	0	0	0	0	0	0	25	0	0	0	0	0	0	0	36	240	0	0	0	0	0	0	0	6	0	13	102	23	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	29	0	0	0	0	0	11	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
"5A"	6	0	0	55	0	41	0	0	0	0	79	0	0	0	41	138	0	0	0	0	11	0	0	24	0	46	58	158	0	0	105	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	7	0	22	0	52	0	0	0	0	0	0	0	9	0	0	0	0	20	0	0	6	0	0	0	0	0	0	0	0	0	0	0	14	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
"6A"	0	0	0	55	0	121	108	6	0	0	64	0	0	0	193	89	0	0	0	0	55	0	18	132	0	68	79	164	0	0	87	0	0	0	0	70	0	0	41	0	0	0	0	0	0	0	0	70	103	0	168	21	0	32	0	0	0	0	9	0	0	0	0	27	0	30	28	0	22	0	33	0	31	0	0	0	0	0	10	0	0	0	0	0	24	39	0	0	0	0	0	7	0	0	28	24	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	38	34	0	0	0	54	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	62	0	15	0	0	25	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
"7A"	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	16	0	0	0	12	0	0	0	95	0	0	30	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	13	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
"8A"	14	0	64	67	0	117	44	0	0	0	8	0	0	0	55	703	0	0	0	0	136	0	24	199	0	65	425	9	0	0	672	74	5	0	0	40	0	0	81	0	0	0	0	0	0	0	0	0	38	0	52	4	0	31	0	0	0	0	140	0	0	0	0	45	0	37	67	0	31	0	0	0	0	0	0	0	0	0	35	0	73	37	0	0	33	0	0	0	0	55	0	6	0	0	57	34	0	37	3	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	12	0	0	0	0	9	0	47	0	0	25	0	0	0	0	0	0	0	25	0	0	24	0	0	0	13	0	0	0	71	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	20	0	0	3	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0
"10A"	0	0	26	0	0	40	24	0	0	0	0	0	0	0	86	61	0	0	0	0	26	0	0	18	0	43	371	25	0	0	124	17	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	29	0	0	7	0	0	0	0	0	0	0	0	0	0	0	13	0	10	10	0	35	0	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	827	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	8	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	4	2	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	52	0	21	0
"2D"	275	1346	4257	0	24	11	0	437	1932	1079	0	892	313	1618	6	369	876	189	307	123	60	113	255	0	148	0	128	0	1151	0	136	0	398	285	0	0	271	249	0	79	1323	41	87	311	149	1169	0	0	0	872	0	499	0	0	0	198	57	77	15	600	0	216	39	0	0	0	0	306	0	580	0	419	0	332	22	0	282	148	0	317	0	0	0	0	0	0	204	105	0	0	95	10	0	30	0	0	18	0	45	0	324	0	0	0	0	85	0	0	0	76	0	343	219	0	0	0	0	34	220	0	43	152	0	417	352	0	69	0	0	27	0	0	0	57	0	0	0	22	52	0	0	51	0	0	72	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	96	0	0	0	0	0	0	0	0	60	0	0	39	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0
"7D"	107	141	53	0	38	70	78	388	182	90	103	585	79	0	128	577	260	310	1924	310	62	126	159	28	219	37	1274	16	0	21	850	39	938	278	2124	0	450	0	58	543	0	139	119	24	40	0	24	0	51	0	75	22	0	24	0	0	52	0	0	148	628	37	673	0	0	18	16	10	11	0	0	0	240	46	39	0	0	235	0	11	10	0	348	34	31	11	115	84	0	17	0	91	289	161	0	35	7	0	72	0	0	0	0	38	0	37	533	202	81	166	0	0	0	0	0	0	24	54	0	0	168	0	0	0	0	0	0	0	351	142	79	0	0	34	105	159	285	0	45	338	0	28	239	43	0	406	0	14	0	108	0	0	67	0	0	258	0	0	229	0	138	171	0	0	0	51	223	0	0	0	250	164	0	0	0	0	167	0	141	256	0	0	0	161	36	86	0	0	208	0	0	144	92	174	67	78	0	120	0
