	Kingdom	Phylum	Class	Order	Family	Genus
ASV1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum
ASV2	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio
ASV3	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio
ASV4	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria SAR11 clade	Alphaproteobacteria SAR11 Clade III	Alphaproteobacteria SAR11 Clade III
ASV5	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Fusibacteraceae	Fusibacter
ASV6	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria SAR11 clade	Alphaproteobacteria SAR11 Clade I	Alphaproteobacteria SAR11 Clade I
ASV7	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria SAR11 clade	Alphaproteobacteria SAR11 Clade III	Alphaproteobacteria SAR11 Clade III
ASV8	Bacteria	Verrucomicrobiota	Lentisphaeria	Lentisphaeria group P.palmC41  	Lentisphaeria group P.palmC42	Lentisphaeria group P.palmC43
ASV9	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pseudoalteromonadaceae	Algicola
ASV10	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter
ASV11	Bacteria	Proteobacteria	Proteobacteria unclass.	Proteobacteria unclass.	Proteobacteria unclass.	Proteobacteria unclass.
ASV12	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio
ASV13	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae
ASV14	Bacteria	Proteobacteria	Gammaproteobacteria	Beggiatoales	Beggiatoaceae	Thioflexothrix
ASV15	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Candidatus Actinomarina
ASV17	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum
ASV18	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Amphritea
ASV19	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Saccharospirillaceae	Thalassolituus
ASV20	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria
